,Area,Classification
744,ES_03027,0
745,ES_03028,0
746,ES_03029,0
747,ES_03030,0
748,ES_03031,1
749,ES_03032,0
750,ES_03033,0
751,ES_03034,0
752,ES_03035,0
753,ES_03036,0
754,ES_03037,0
755,ES_03038,0
756,ES_03039,0
757,ES_03040,0
758,ES_03041,1
759,ES_03042,2
760,ES_03043,2
761,ES_03044,0
762,ES_03045,0
763,ES_03046,0
764,ES_03047,1
765,ES_03048,2
766,ES_03049,2
767,ES_03050,2
768,ES_03051,0
769,ES_03052,0
770,ES_03053,1
771,ES_03054,0
772,ES_03055,2
773,ES_03056,2
774,ES_03057,0
775,ES_03058,2
776,ES_03059,1
777,ES_03060,0
778,ES_03061,0
779,ES_03062,0
780,ES_03063,3
781,ES_03064,2
782,ES_03066,1
783,ES_03067,0
784,ES_03068,0
785,ES_03069,2
786,ES_03070,0
787,ES_03071,2
788,ES_03072,0
789,ES_03073,0
790,ES_03074,0
791,ES_03075,0
792,ES_03076,1
793,ES_03077,0
794,ES_03078,0
795,ES_03079,2
796,ES_03080,0
797,ES_03081,2
798,ES_03082,1
799,ES_03083,2
800,ES_03084,0
801,ES_03085,2
802,ES_03086,0
803,ES_03088,2
804,ES_03089,2
805,ES_03090,2
806,ES_03091,0
807,ES_03092,2
808,ES_03093,2
809,ES_03094,2
810,ES_03095,2
811,ES_03096,2
812,ES_03097,0
813,ES_03098,0
814,ES_03100,0
815,ES_03101,2
816,ES_03102,2
817,ES_03103,0
818,ES_03104,1
819,ES_03105,2
820,ES_03106,0
821,ES_03107,2
822,ES_03109,0
823,ES_03110,0
824,ES_03111,0
825,ES_03112,0
826,ES_03113,1
827,ES_03114,0
828,ES_03115,0
829,ES_03116,0
830,ES_03117,0
831,ES_03118,1
832,ES_03119,2
833,ES_03120,1
834,ES_03121,1
835,ES_03122,1
836,ES_03123,2
837,ES_03124,0
838,ES_03125,0
839,ES_03127,0
840,ES_03128,2
841,ES_03129,2
842,ES_03130,0
843,ES_03131,0
844,ES_03132,0
845,ES_03133,3
846,ES_03134,0
847,ES_03135,0
848,ES_03136,0
849,ES_03137,0
850,ES_03138,0
851,ES_03139,2
852,ES_03140,1
853,ES_03901,0
854,ES_03902,3
855,ES_03903,2
856,ES_03904,0
857,ES_04001,0
858,ES_04002,0
859,ES_04003,2
860,ES_04004,0
861,ES_04005,0
862,ES_04006,2
863,ES_04007,0
864,ES_04008,0
865,ES_04009,0
866,ES_04010,0
867,ES_04011,0
868,ES_04012,0
869,ES_04014,0
870,ES_04015,0
871,ES_04016,0
872,ES_04017,2
873,ES_04018,0
874,ES_04019,0
875,ES_04020,0
876,ES_04021,0
877,ES_04022,0
878,ES_04023,0
879,ES_04024,0
880,ES_04026,0
881,ES_04027,0
882,ES_04028,0
883,ES_04029,0
884,ES_04030,0
885,ES_04031,0
886,ES_04032,2
887,ES_04033,0
888,ES_04034,0
889,ES_04035,2
890,ES_04036,0
